stn_id,borrowed_hour,borrowed_day,is_holiday,borrowed_num_nearby,강수량(mm),wind_chill,nearby_id,borrowed_date,XGB_Prediction,LGBM_Prediction,Ensemble_Prediction,predicted_borrowed_num
1234,17,7,1,2.0,0,5.326435435722722,613,20231203,2.5414078,1.9223230234212096,2.2318654234919157,2.2318654234919157
1235,17,7,1,3.0,0,4.657721484460929,285,20231203,2.4349275,1.8067655249721903,2.1208464942518424,2.1208464942518424
1236,17,7,1,2.0,0,5.5166,1066,20231203,3.1176884,2.0503022193192946,2.5839953183769935,2.5839953183769935
1237,17,7,1,2.0,0,5.5166,1067,20231203,3.472794,2.5658001931638563,3.0192971245512883,3.0192971245512883
1238,17,7,1,2.0,0,5.326435435722722,1068,20231203,3.4836574,2.568952343979551,3.0263048520282276,3.0263048520282276
1239,17,7,1,4.0,0,5.326435435722722,1069,20231203,4.9541626,2.9084722737417152,3.9313174356989826,3.9313174356989826
1240,17,7,1,2.0,0,4.657721484460929,1070,20231203,3.9814959,2.377387760971479,3.179441809105124,3.179441809105124
1241,17,7,1,1.0,0,5.5166,376,20231203,2.6256542,3.7133621656160534,3.169508193098554,3.169508193098554
1242,17,7,1,3.0,0,5.663108803109136,1071,20231203,4.290491,2.8138768158226255,3.5521839599743013,3.5521839599743013
1243,17,7,1,1.0,0,4.657721484460929,1072,20231203,3.037184,2.24403716650724,2.6406105832612496,2.6406105832612496
1244,17,7,1,1.0,0,5.5166,1073,20231203,2.9702284,2.336650272160178,2.653439352884593,2.653439352884593
1245,17,7,1,4.0,0,5.176455566970587,1,20231203,2.3581657,2.743810915859547,2.550988328413172,2.550988328413172
1246,17,7,1,2.0,0,3.0303798274450324,533,20231203,7.466679,2.51949362331356,4.993086359767742,4.993086359767742
1247,17,7,1,1.0,0,4.355111336027708,1043,20231203,2.0262098,1.5029876650111869,1.7645987481244898,1.7645987481244898
1248,17,7,1,1.0,0,3.8878,1074,20231203,2.7376258,2.2275264538008304,2.4825761455634403,2.4825761455634403
1249,17,7,1,1.0,0,5.161062052147818,1075,20231203,2.6141338,2.074849290186073,2.34449156251247,2.34449156251247
1250,17,7,1,2.0,0,4.221342763215654,1076,20231203,3.911319,2.1619978398628166,3.0366584286365477,3.0366584286365477
1251,17,7,1,3.0,0,4.221342763215654,1077,20231203,3.9433258,2.3445746532157106,3.1439502055980286,3.1439502055980286
1252,17,7,1,1.0,0,5.663108803109136,300,20231203,1.5270079,2.4148104954343217,1.9709092164328286,1.9709092164328286
1253,17,7,1,2.0,0,4.221342763215654,1078,20231203,3.911319,2.1619978398628166,3.0366584286365477,3.0366584286365477
1254,17,7,1,3.0,0,4.221342763215654,1079,20231203,3.9433258,2.3445746532157106,3.1439502055980286,3.1439502055980286
1255,17,7,1,1.0,0,4.221342763215654,1080,20231203,2.9987311,2.028647245398572,2.5136891908602967,2.5136891908602967
1256,17,7,1,2.0,0,4.221342763215654,231,20231203,2.0665553,2.1626128655381476,2.114584063575043,2.114584063575043
1257,17,7,1,3.0,0,4.221342763215654,1081,20231203,3.7505744,2.3445746532157106,3.047574501786383,3.047574501786383
1258,17,7,1,2.0,0,4.221342763215654,1082,20231203,3.5897567,2.2017519973545903,2.895754362286609,2.895754362286609
1259,17,7,1,1.0,0,4.221342763215654,1083,20231203,2.6453156,2.0584439028141936,2.351879774969719,2.351879774969719
1260,17,7,1,3.0,0,4.221342763215654,1084,20231203,3.7505744,2.3743713106313313,3.0624728304941935,3.0624728304941935
1261,17,7,1,3.0,0,5.663108803109136,918,20231203,4.8168526,2.7279745107173645,3.7724135401487215,3.7724135401487215
1262,17,7,1,3.0,0,4.023966322320223,1085,20231203,2.920912,2.315760663811468,2.6183363455852384,2.6183363455852384
1263,17,7,1,2.0,0,-0.1864508568648927,1086,20231203,2.817265,2.128299770915353,2.4727824023186384,2.4727824023186384
1264,17,7,1,1.0,0,4.221342763215654,1087,20231203,2.6496599,2.0584439028141936,2.3540518874346237,2.3540518874346237
1265,17,7,1,1.0,0,4.221342763215654,1088,20231203,2.6496599,2.0584439028141936,2.3540518874346237,2.3540518874346237
1266,17,7,1,3.0,0,4.221342763215654,1089,20231203,3.320058,2.3743713106313313,2.847214709003715,2.847214709003715
1267,17,7,1,4.0,0,4.221342763215654,1090,20231203,2.7882183,2.6381582356325417,2.7131882477219715,2.7131882477219715
1268,17,7,1,4.0,0,4.221342763215654,194,20231203,2.6334765,2.8053283466945294,2.7194024212186636,2.7194024212186636
1269,17,7,1,2.0,0,4.221342763215654,1091,20231203,3.1185994,2.0957098019128635,2.6071546083691515,2.6071546083691515
1270,17,7,1,3.0,0,4.023966322320223,1092,20231203,2.4150333,2.219675968445894,2.317354654449998,2.317354654449998
1271,17,7,1,2.0,0,5.663108803109136,414,20231203,4.0908217,4.159714422966459,4.125268082988967,4.125268082988967
1272,17,7,1,3.0,0,4.221342763215654,736,20231203,3.6860452,1.9728540220337767,2.8294495959320494,2.8294495959320494
1273,17,7,1,1.0,0,4.221342763215654,1093,20231203,2.2782156,1.9623592074486214,2.1202874270961978,2.1202874270961978
1274,17,7,1,5.0,0,5.326435435722722,1094,20231203,1.281287,2.737935416205307,2.009611185542534,2.009611185542534
1275,17,7,1,2.0,0,4.221342763215654,1095,20231203,3.0769882,2.1237462117103783,2.600367215962611,2.600367215962611
1276,17,7,1,1.0,0,5.663108803109136,430,20231203,2.5129874,2.6542362949748903,2.5836118351171447,2.5836118351171447
1277,17,7,1,1.0,0,4.221342763215654,1096,20231203,2.2782156,1.9903956172461372,2.134305631994956,2.134305631994956
1278,17,7,1,4.0,0,4.221342763215654,807,20231203,4.2188597,2.1826555851664042,3.2007576288563957,3.2007576288563957
1279,17,7,1,4.0,0,5.920041358043738,1097,20231203,1.7478766,2.8077781036155565,2.2778273738750388,2.2778273738750388
1280,17,7,1,3.0,0,5.161062052147818,1098,20231203,2.773997,2.4157342815056264,2.594865674955389,2.594865674955389
1281,17,7,1,1.0,0,5.161062052147818,523,20231203,2.7362366,3.1651968754749427,2.9507167238702836,2.9507167238702836
1282,17,7,1,2.0,0,3.8878,581,20231203,3.1292155,3.376109948149182,3.2526627135231383,3.2526627135231383
1283,17,7,1,5.0,0,5.920041358043738,1099,20231203,2.99367,2.887985014880911,2.9408275008028824,2.9408275008028824
1284,17,7,1,1.0,0,5.161062052147818,1100,20231203,2.9637182,2.0504888088651554,2.5071034923766087,2.5071034923766087
1285,17,7,1,1.0,0,5.663108803109136,1101,20231203,2.9814825,2.158823712594468,2.570153109196404,2.570153109196404
1286,17,7,1,4.0,0,5.920041358043738,1102,20231203,3.2121136,2.8761282708728806,3.0441209448617945,3.0441209448617945
1287,17,7,1,4.0,0,5.920041358043738,1103,20231203,3.2121136,2.8761282708728806,3.0441209448617945,3.0441209448617945
1288,17,7,1,2.0,0,3.8878,1104,20231203,3.7784548,2.2059875257992205,2.992221153188917,2.992221153188917
